name,user rating,user review,is_valid,negative,neutral,positive,compound
Lake Michigan Monster,4.0,"A fascinating rewatch in a post Hundreds of Beavers world. Compared to that movie's universally appealing sense of humor, this one is so ultra specific and so niche that I can see why it only majorly took off among my circle of friends. A couple stretches are a bit dryer than I remember (looking at you, cruise ship bit) and while there are so many comedic swings that still hit home runs for me, there are a surprising number of ones that fall a bit short. I was always enamored with the low-budget wit and ingenuity of this one, but now that I've seen those same elements on a much grander scale from the same team, it's hard to justify keeping this one at the same score. But it's still great! Captain Seafield still remains one of the funniest cinematic protagonists I've ever seen, this movie inarguably has the better song compared to its successor, and don't even get me started on the damn ghost army",True,0.042,0.795,0.163,0.9684
Finding Nemo,3.5,"A lot funnier than I remember. Stunning animation, very emotional and entertaining. I'm not a huge fan of Dory or the Tank Gang and some scenes aren't as good as others. But a really good entry in the Pixar canon, even if it's not a favorite",True,0.14,0.657,0.204,0.5548
Soul,4.0,"A more intellectual and artistic take on the same concepts that Inside Out and Coco tackled. I feel like these three movies make for a pretty interesting thematic trilogy, and while I think this might be the slight weakest of the three, it's nonetheless another hit for a fairly hit-or-miss studio these days.",True,0.048,0.762,0.19,0.8396
Anastasia: Once Upon a Time,1.0,A movie with an absolutely batshit premise and zero actual plot. What a winning combo!,True,0.0,0.791,0.209,0.5707
Indiana Jones and the Dial of Destiny,1.5,"A near-inconceivable trainwreck. I went in morbidly curious if it was slightly better or worse than Crystal Skull, and instead I got something whose closest kin is Rise of Skywalker, undoing nearly everything from its controversial predecessor but forgetting to fill the gaping hole at its center with anything meaningful or worthwhile.
Boring sidekicks, buffoonish villains who teleport to wherever the plot needs them to be, a complete lack of visual style, trite dialogue outside of a single good one-liner about Poland, and an overwhelming sense of 'been there, done that' permeate this obscenely dull and overly long snoozefest. For all the anticipation that this could possibly have been the 'Logan' of the Indiana Jones series, it's a film entirely uninterested in examing him as a character for the majority of its runtime, instead being content to let us gawk at an 80-year old man going on one last trek through a Legends of the Hidden Temple set. How in the ever-loving fuck did this cost $300 million to make???
A couple decent action scenes, some very scarce emotional moments here and there, and when Antonio Banderas showed up for 5 minutes it was nice to hear the sweet sultry tones of Puss in Boots and remember what it felt like to watch a good movie. I guess it's also nice to get confirmation that a megacorporation like Disney could never recapture the magic of Spielberg, no matter how good the cover artist they hire is in theory.",True,0.091,0.763,0.146,0.9436
Edge of Tomorrow,4.5,"A phenomenal, underrated action movie. Time loops are my jam (I'm the biggest Majora's Mask fan on the planet, after all) so this movie's fun premise, coupled with great performances and solid direction makes for such an incredible moviegoing experience. More people need to see this.",True,0.0,0.784,0.216,0.8901
Indiana Jones and the Kingdom of the Crystal Skull,2.5,A pretty good movie if you turn it off once they get to Peru,True,0.0,0.663,0.337,0.7269
Arrival,3.5,"A really intriguing and well-crafted sci-fi mystery. Denis Villeneuve is such a master of his craft that it's truly astounding, and I love how this movie takes its time to establish how difficult it would be to communicate with an alien race. Amy Adams is excellent as always as well. But not every scene felt necessary to me and it kinda dragged on at some parts. Still, one of the better sci-fi films in recent years",True,0.021,0.799,0.18,0.8907
John Wick: Chapter 2,4.0,"A significant improvement from the first, the action is more enticing and the story is more engaging. The two halves of this movie are kinda two different movies, and while the first half is solid enough, the second half is exhilarating and satisfying. I love how well set up the rules of this universe are, to the point where I actually said 'Oh no' out loud during a certain scene. You know the one.",True,0.0,0.737,0.263,0.9647
Flow,4.0,"Aaaaaaaa I love environmental storytelling! I love when animals don't talk but convey so much character and emotion regardless! I love the found family trope!
A vast improvement over Zilbalodis's previous film in terms of style and form, I can't wait to see what he does next. If this one's playing near you then run don't walk to see it!",True,0.0,0.75,0.25,0.9605
Marriage Story,4.5,"Absolutely beautiful. Stellar performances all around. Even the kid is pretty good. That argument scene? Couldn't stop crying. That scene towards the end at the pub? Sensational.
I'm not sure if some of the dialogue was quite as tight as I wanted, plus the score is a little overbearing at times (Randy Newman, man. Sigh.), but the actors easily pick up all the slack. Career-best turns from Driver and ScarJo.
Interestingly enough, a ton of people have said they found it hard to pick a side in the divorce, but I though Nicole's side was significantly stronger the whole time, and Charlie needed to be knocked down a few pegs. That's kinda what the movie felt like it was about; giving Charlie some much-needed growth as a person while Nicole gets to be the person she always wanted to be. I really cared for him by the end, and I cared for her from that first monologue with the lawyer. Great stuff.
The ending made me soft too but I think that's just cause I got Jojo Rabbit flashbacks with ScarJo and the shoelaces...",True,0.022,0.771,0.207,0.9904
The Secret of Kells,3.0,"Absolutely enchanting animation, but it feels like an unfinished beta version of Song of the Sea and Wolfwalkers. Easily Cartoon Saloon's weakest film, but not a bad start for the studio by any means.",True,0.1,0.673,0.227,0.6883
The Last Unicorn,4.0,Absolutely gorgeous and powerful. Young Jeff Bridges could not voice act,True,0.0,0.55,0.45,0.8104
Deadpool & Wolverine,2.5,Achieved my dream of seeing Matthew Macfadyen on the big screen for the first time,True,0.0,0.875,0.125,0.25
Goosebumps,3.5,Actually kinda fun ngl,True,0.0,0.499,0.501,0.4601
Entergalactic,4.0,Add romcoms to the list of genres that are infinitely better when animated,True,0.0,0.805,0.195,0.4404
Castle in the Sky,3.5,After watching 20 Disney direct-to-DVD sequels in a row it's nice to watch a real movie instead,True,0.0,0.851,0.149,0.4215
Indiana Jones and the Last Crusade,4.5,"After watching both Top Guns, I was in the mood for the quintessential dad movie. Not Spielberg's all-time best but definitely my all-time favorite of his",True,0.066,0.664,0.27,0.7761
Incredibles 2,3.0,"Ah yes, the original 'painfully average' movie. Upon further thought, it's way better than the other films I've given that moniker to. It's fun, has great writing and inventive action, and the score is solid. Filler nonsense and a weak plot/villain/finale really drag it down, and it has little to no emotional weight. But it's still enjoyable; if we only had to wait 2 years for this instead of 14 then I think I'd feel a lot better about it overall.",True,0.102,0.698,0.2,0.884
Little Nicky,1.5,All of a sudden I sure am hungry for Popeyes® delicious chicken!,True,0.0,0.636,0.364,0.7424
Mixed Nuts,1.0,Alright maybe Eight Crazy Nights wasn't that bad,True,0.196,0.408,0.396,0.3506
Happy Gilmore,3.5,"Alright this one's really funny, I'm not made of stone",True,0.0,0.606,0.394,0.6361
Ratatouille,5.0,Always hits the spot no matter how many times I rewatch it. This is gonna be a fun video!,True,0.05,0.785,0.166,0.5451
Rear Window,3.5,Always nice when your girlfriend takes an interest in your hobbies,True,0.0,0.608,0.392,0.7003
Batman Returns,3.5,Am I gonna get Rio 2'd again for saying this was so much more fun than the first one,True,0.0,0.824,0.176,0.5936
Good Burger,2.5,Am I sleep-deprived or was Ed genuinely funny,True,0.0,0.707,0.293,0.4404
Guardians of the Galaxy,4.0,Amazing looking water in this movie,True,0.0,0.568,0.432,0.5859
Dolemite Is My Name,4.0,"An absolute blast. I had inexplicably never heard of Rudy Ray Moore or Dolemite before watching this, but I kinda want to check out everything he's ever done now. This movie is just a burst of fun and energy anchored by great performances all around, with Eddie Murphy stealing the show in every scene. Plus, as an Unbreakable Kimmy Schmidt fan, Titus Burgess is always a plus.
I got tons of Disaster Artist vibes from this, but I think this film handles the whole 'movie about making another wacky movie' thing way better. It's not especially deep, but it's a feel-good ride that's sure to inspire the artist in all of us.
(Side note, on the Wikipedia page for this movie, they use a picture of Eddie Murphy from the Shrek Forever After premiere and that made me happy)",True,0.062,0.743,0.195,0.9716
The Incredibles,5.0,"An absolutely flawless, mature family drama. It genuinely feels like it was written for adults first and kids were kind of an afterthought. Animation as a medium rarely gets better than this.",True,0.061,0.707,0.232,0.776
The Big Sick,4.5,"An exceptionally enjoyable rom-com with solid performances from everyone involved. You can tell this was a passion project for Kumail and his wife, it comes across so strongly in this funny, heartfelt film. Ray Romano's voice is like butter in any movie he's in so there's that too",True,0.0,0.678,0.322,0.9548
Nanoshark,5.0,An indomitable defense of human creativity. You will believe a man can pee/give birth to a shark.,True,0.0,0.785,0.215,0.4767
The Grand Budapest Hotel,5.0,"An utter delight of a film that I continue to revisit on a regular basis. It might actually be Wes Anderson's best movie, which is saying quite a lot.",True,0.0,0.763,0.237,0.8553
Sunday in the Park with George,4.0,"And Mandy Patinkin, who played Sunday, he gave everything",True,0.0,0.769,0.231,0.34
Alien: Covenant,2.5,"And the award for most predictable movie twist goes to...
As a certified Prometheus (2012) enjoyer, I felt as if this one was too cowardly to follow through on its predecessor's general tone and ideas in a lot of ways. The sole vast improvement this one offers over the previous film is David; an already great character who in this film becomes far and away the greatest non-Xenomorph antagonist to ever grace the series. Fassbender brings such fantastical and disturbing glee to the role, which makes the progression of David's maniacal God complex truly awe inspiring.
Everything else in this movie isn't.
Far and away the least interesting and most infuriatingly incompetent group of protagonists the series has ever seen. What a truly incredible feat to not even consider wearing helmets on this uncharted alien world you just found out about weeks ago. Let's all split up in this android's bizarre castle of death, why not? Oh hey, something's clearly suspicious about him! I guess I'll follow him, ALONE, to this weird egg dungeon of his. Oh, he really wants me to stick my face up against one of these things? Don't mind if I do dawg. What could possibly go wrong.
The main lady, whose name I could not possibly remember if you put a facehugger to my head, is unbearably bland when put up against the badassery of Ripley, the devotion of Shaw, or even the simple yet effective emotional core Rain brings to the table through her relationship with Andy. What's the emotional core here? She's sad that her husband James Franco died? That's great and all but we don't know him! I'm sorry I couldn't be bothered to connect with her standard, played out grief. And why was it James fucking Franco?
I don't think it's a controversial statement to say that David is far more terrifying than the Xenomorphs in this film, but that's not solely a compliment directed at him; it's really hard to overstate just how unterrified I remained from the moment I saw that first little cartoonish CGI one unconvincingly scurry across the screen. (Not a CGI hater when it's used effectively or convincingly, it just wasn't here in the slightest!) The spine birth scene was pretty gnarly, but unfortunately the movie never strived to match that level of horror again. I mean, I wasn't supposed to laugh out loud at the shower scene, was I?
The main thing that really drags this film down for me is just how incongruent the Xenomorph stuff feels next to the genuinely compelling sight of David playing God. Even with the obvious narrative connection, the titular aliens feel like an afterthought, something that we mainly need to awkwardly squeeze into the last 20 minutes in order to appease those who felt slighted by how different Prometheus was. As someone who genuinely enjoyed Prometheus, I oddly find myself having trouble picturing someone who likes both of these films in equal measure. I wouldn't call this a betrayal of what Prometheus accomplished and what it was building towards, but it certainly doesn't feel like a natural continuation. There's the obvious factors, like the sharp deviation this film makes from the implications of Prometheus's ending, but there's also a general toning down of the lofty, somewhat pretentious, hyper-religious themes found in that movie. They can still be found in Covenant here and there, but let's just say it's easy to tell that this was from a completely different writing team. Unfortunately, I find myself siding with the ambitious, grandiose, often too big for its britches script, rather than one so bland and unspecial that I can't recall a single line of dialogue that didn't come out of David's mouth a mere half hour after watching it.
Honestly I think I might prefer Alien Resurrection over this one. At least that movie knew what it wanted to be.",True,0.099,0.768,0.133,0.9738
The Terminal,4.0,'And then everybody taped a photocopy of my hand to the wall' is the new 'And then everybody clapped',True,0.0,0.849,0.151,0.4939
Schindler’s List,5.0,"As iconic, almost mythic of a filmmaker Steven Spielberg is, this is the sort of film you would never imagine he has in him. Masterpiece in every sense of the word.",True,0.0,0.88,0.12,0.6249
The Great Piggy Bank Robbery,4.0,At first this seemed pretty standard then all the mobsters showed up and I was like 'Oh yeah I get it',True,0.0,0.695,0.305,0.7845
The Emoji Movie,1.0,"At one point one of the main characters says 'Ok, buzzkill', and at that moment I got down on my knees and prayed to God, thanking Him for the fact that this movie didn't release two years later.
Still better than Cars 2.",True,0.0,0.891,0.109,0.6124
The Empire Strikes Back,5.0,"At the age of 7, I knew practically nothing about Star Wars. It was the Burger King kid's meal toy promotion for Revenge of the Sith that got me fascinated in all these weird aliens and robots. I got the Han Solo toy that came with a carbonite shell to put him into, and had so much fun playing with it. My dad, eager to properly introduce me to one of his favorite franchises, asked, 'Do you want to see the movie where Han gets frozen in carbonite?'
So there I was, watching my first ever Star Wars film, getting absolutely transfixed by the epic battle of Hoth, the funny robots, the cool lightsaber fights, and the sad ending made a little brighter by that pretty sun they were all staring into by the end. Immediately after it was over, I asked to see the other 5 movies. I was hooked forever.
Unbelievably, Empire Strikes Back manages to invoke the same feelings of transfixion and awe every single time I rewatch it. While it maintains the simple, pulpy, campy fun of the original to a degree, it fleshes out its cast and their relationships by putting them through constant, unrelenting hardship. The emotional toll this story takes on every one of its characters is what sets it apart as a tremendous installment of both the original trilogy, and the saga as a whole.
Much like how Revenge of the Sith belongs to Palpatine, this movie belongs to Darth Vader. His decently evil presence in the original film is cranked to the max, and his endless torment of both the rebels and his own officers that fail him makes for such a vicious, calculating antagonist. This is the movie that made him one of the greatest villains in cinematic history, and that twist completely changes the trajectory of the entire saga, while also being shocking in its own right.
Everything involving Yoda is truly magical; there's so much weight behind every one of his lines and actions once he reveals his initial ruse. Yoda paints a picture of the magnificence of the Force, and the power the great mystery holds. Every one of his scenes holds tremendous purpose, not only in teaching us more about the Force, but about Luke as well. One of the most clever touches is during his encounter with Vader in the cave. You hear the lightsaber sound, but you don't see if Luke or Vader is the one who turned it on. Then, Luke backs up, and you see that his lightsaber is the one that ignited. He failed Yoda's test by using the Force for attack rather than defense, and he does the same thing when confronted with the real Darth Vader at Cloud City. Brilliant.
My favorite scene in the film, hell, the entire Star Wars saga, is Han being frozen in carbonite. The tragedy of the moment is illustrated perfectly through Han and Leia's farewell kiss, and there's someone so mystifying about 'I love you.' 'I know.' It gives me chills every time and I can't explain why; it's simply perfect from a character perspective. And the shot of the smoke from the carbonite chamber clearing away to reveal Vader's sinister visage, as the Imperial March plays...cinema doesn't get better than this. It really doesn't.
Empire Strikes Back is THE perfect sequel, the film that changed everything for the Star Wars saga and opened it up to truly magnificent, emotionally resonant storytelling. It's hard to imagine what would've happened to the franchise had this follow-up installment not soared in the way it did, but fortunately for all of us, it did. This movie will always hold a special place in my heart for introducing me to a galaxy far, far away, but its sheer dramatic weight has firmly planted it as one of my favorite films ever made. And the odds of that fact changing are so low, they're not worth telling.",True,0.103,0.759,0.138,0.9793
Squid Game,4.5,Aw hell yeah I love Splatoon,True,0.329,0.214,0.457,0.2023
Licorice Pizza,4.5,"Banger movie! Reeeeeeeeeeeeeeeally would have liked a more ambiguous and less rushed ending tho. Also pretty wild that the Asian jokes that caused such an uproar could've just been edited out of the movie entirely and nothing would change. So like, why didn't they
Was that John C. Reilly as Frankenstein for 2 seconds or am I going insane",True,0.04,0.791,0.169,0.8331
When Marnie Was There,4.5,Beautiful. Too bad Ghibli never made any more movies after this. None whatsoever.,True,0.19,0.598,0.212,0.1027
Parasite,4.5,BEST MOTHERFUCKING PICTURE,True,0.422,0.111,0.467,0.1027
Sharktopus vs. Whalewolf,1.0,Best part of the movie was when my girlfriend tweeted this: twitter.com/lavenderwhaley/status/1703200335689310320?t=vQH2Pu3I4jDDXLSV9usj7w&s=19,True,0.0,0.724,0.276,0.6369
Dinosaur Hotel II,2.0,Best possible way to close out 2022,True,0.0,0.588,0.412,0.6369
Bulletproof,2.0,Best thing about this was that they used the same dog from Babe Pig in the City,True,0.0,0.792,0.208,0.6369
Mr. Boogedy,1.0,Better Disney Plus content than Artemis Fowl,True,0.0,0.674,0.326,0.4404
Avengers: Infinity War,4.5,"Better log this before I see Endgame tomorrow.
As of right now, the best MCU movie. A monumental achievement that I rewatch scenes from on at least a weekly basis. I could never sufficiently put into words how much I adore this movie.",True,0.0,0.789,0.211,0.8934
Cannibal! The Musical,2.5,Better musical than Emilia Perez! By that logic it should have 7 Golden Globes,True,0.0,0.803,0.197,0.4926
Spider-Man: Homecoming,3.5,"Better than I remember. Funny, cute, exciting. It's cool to see how normal people live within this universe and I like the small stakes story that still manages to give the hero a chance to prove himself. The car scene is top tier MCU.",True,0.0,0.591,0.409,0.969
Wicked,4.0,Better than Muppets Wizard of Oz,True,0.0,0.633,0.367,0.4404
The Star Wars Holiday Special,1.0,Better than Rise of Skywalker,True,0.0,0.58,0.42,0.4404
Maggie Simpson in “Playdate with Destiny”,3.5,Better than the movie it was bizarrely stapled to,True,0.0,0.734,0.266,0.4404
Alvin and the Chipmunks: The Road Chip,2.0,Better than the previous Chipmunks movie. I never though I'd see the day.,True,0.0,0.805,0.195,0.4404
Big and Hairy,2.0,Bigfoot will never be ballin-HOLY SHIT,True,0.0,0.591,0.409,0.5372
The Lion King,5.0,Biggest observation that came from this rewatch is that Timon would be a really good Tumblr Sexyman,True,0.0,0.834,0.166,0.4927
Sauce,5.0,"'Bitch, you da sauce' will go down as one of the greatest lines in cinematic history",True,0.173,0.636,0.191,0.1027
Attack of the 50 Foot Woman,2.0,Boring! There's a guy in this who sounds exactly like Steve Buscemi though so that's cool,True,0.111,0.629,0.26,0.4714
Mission: Impossible – Ghost Protocol,4.5,"BRAD FUCKING BIRD. It's honestly ridiculous how perfectly his skills at crafting tightly-woven animated action sequences translated to the live-action medium. Legit could not breathe as Ethan scaled the Burj Khalifa. Said out loud 'there's no way' when he tossed one of the gloves aside. Had to rewind when he attempted to swing back inside and bonked his head because I simply couldn't believe my eyes - and in the process of doing so, I noticed that this was an hour in! This thing just flies by and does not feel its length at all, it's so engrossing!
Honestly the first one of these movies to really earn the title of the franchise. The dual meeting sequence, the sandstorm chase, the sheer down-to-the-wire nature of the finale; I can't believe they pulled this thing off. This applies to the characters and the filmmakers!
Cannot believe it apparently gets better from here.",True,0.029,0.879,0.092,0.9096
Passion,3.0,"Bro, are you flirting with my cousin?",True,0.0,0.769,0.231,0.2023
Evil Dead II,4.0,Bruce Campbell's right hand deserves an Academy Award,True,0.0,0.472,0.528,0.7717
Hoffmaniada,,"Came in halfway through, but I respected what I saw enough to maybe check it all out later in the future, and you should too",True,0.0,0.853,0.147,0.631
The Munsters,2.0,"Can someone please explain the 'I am a Lego Bat' song
What is the joke there
What does it mean
What the fuck does any of this mean
help",True,0.098,0.7,0.202,0.4019
Avatar: The Way of Water,3.0,Can't believe I made a whole video glazing the water in Star Wars movies when THIS movie exists. Fucking amazing looking Grade A 10/10 water here,True,0.114,0.757,0.129,0.1263
Encanto,4.5,"Changed my mind about the songs actually, they're bangers that get better the more I listen to them. This movie fucking rocks and it better not fade into relative obscurity.",True,0.0,0.828,0.172,0.7003
The Hunchback of Notre Dame,4.5,"Changed my mind about this one. It deserves a 9/10 despite being an utter tonal disaster. Not just the gargoyles; the slapstick during the fight scenes is straight up embarrassing. But WOW this movie is otherwise astounding. Unbelievable songs, an unforgettable score, great characters, and the best Disney villain ever (even though I complained about him, he's still amazing for Disney) makes for one of Disney's grandest, most ambitious works.
The stage musical is still better tho",True,0.123,0.516,0.361,0.9868
"Two Cars, One Night",3.5,"Charming in its simplicity, and striking from a visual perspective. A great opening act for my boy Taika",True,0.0,0.669,0.331,0.836
Chicken Little,1.0,"Chicken Little is a lot like Evangelion if you think about it:
-Main protagonist is a loser nobody likes
-His dad hates him
-The alien invasion at the end is like the Third Impact",True,0.146,0.673,0.181,0.128
Terminator Salvation,2.5,"Christian Bale randomly does his Batman voice on occasion and CGI Arnold shows up with no dick and balls. I definitely liked it less than the previous film, but the story was kind of interesting on paper and the third act was kinda cool. Definitely sauceless overall but I have yet to see a truly irredeemably awful Terminator film. Oh well, there's always next time.",True,0.049,0.693,0.258,0.9307
Lost in Starlight,4.5,Climax was obviously the best part but that elevator kiss is also gonna stick with me for a while,True,0.0,0.73,0.27,0.743
Madagascar,3.0,"Comedy itself peaked when Melman said 'Guys, we're running out of time' with a clock stuck to his head",True,0.093,0.791,0.116,0.128
American Fiction,3.0,"Compelling social satire plotline forced to fight for screentime with entirely disconnected, rather uninteresting family drama. Many of the ideas in the main plot come out half-baked and unexplored as a result (the musical A Strange Loop covers a lot of similar ground in a more engaging way imo). Still, strong Jeffrey Wright and Sterling K. Brown performances, and genuinely very funny. The RBG posters in the publisher lady's office was a great bit",True,0.084,0.745,0.171,0.831
Stitch! The Movie,2.5,Cool overly drawn out TV pilot I guess,True,0.0,0.753,0.247,0.3182
Tetsuo: The Iron Man,3.0,Cool special effects and editing. Not really my thing tho. Great film to put on while eating,True,0.0,0.606,0.394,0.8442
Family Guy Presents: Blue Harvest,4.0,Couch gag genuinely one of the top 10 Family Guy jokes ever,True,0.158,0.592,0.25,0.1027
Batman Begins,4.0,"Could not take Bruce Wayne seriously whenever he wore a suit, like I'm sorry that is just Patrick Bateman to me",True,0.128,0.766,0.106,0.128
CODA,4.5,"Crazy how such a cliche and predictable movie could be sooooooo endearing and enjoyable. Loved watching this so much, I always felt so emotionally attached and invested and it didn't feel like I was being Oscar-baited to in the slightest. Emilia Jones is going places. Loved the choir teacher in this too. Man I miss high school choir!",True,0.088,0.753,0.159,0.7834
Hotel Transylvania,2.5,"Crazy how unrecognizable Sandler's voice is here. Like even in Uncut Gems he sounds like himself, but here he just goes full Drac dude",True,0.065,0.802,0.134,0.2023
Inside Out,4.0,"Creativity overload, in a good way. The story isn't great and the plot holes are pretty problematic but this movie's so engaging and fun that it doesn't matter. There are so many funny, expressive, heartfelt moments and characters that make this film an absolute Joy to revisit. It's not one of Pixar's absolute best, but it's pretty close.",True,0.077,0.488,0.435,0.9893
Licorice Pizza,3.5,Cute and fun but not all that special in hindsight!,True,0.201,0.489,0.31,0.1419
Up,3.5,"Cute kiddie fluff with an excellent opening and score. Take those out and ehhhhh. Don't get me wrong, Dug is really funny and it's a nice little adventure but it's not really thematically cohesive like Wall-E or Shrek 2. If people could stop calling this the greatest Pixar movie based off of the opening alone that'd be great.",True,0.067,0.595,0.338,0.9658
Ms. Marvel,3.5,Cute! Make it a 2-hour movie next time,True,0.0,0.68,0.32,0.5093
See How They Run,3.0,"Cute! Wish I liked it more, especially considering that a theatre-related mystery with Saorise Ronan quirkily jotting things down in a lil notebook sounds right up my alley, but oh well",True,0.0,0.756,0.244,0.7712
First Man,2.5,"Damien Chazelle is my favorite director, and his direction is the best part about this movie. But maaaaaaaan, this script does not match the brilliance of his presentation. It's exceptionally dull and I don't buy Ryan Gosling in this role, I'm sorry. Great performance from Claire Foy and some excellent sequences here and there but the screenplay really sinks this one for me.",True,0.119,0.692,0.189,0.7678
Once Upon a Time… in Hollywood,3.5,"Damn Robin from Stranger Things made a really good life choice in this movie
Tonally alien from most of Tarantino's other works, Once Upon a Time in Hollywood plays out more like a loosely connected series of vignettes rather than a flowing narrative. Unfortunately, unlike something like Pulp Fiction, where every segment intersects in some way while the film remains entertaining throughout, this movie feels much less focused and has largely underdeveloped themes and character motivations.
Sharon Tate has nothing to do the entire movie, Cliff is difficult to sympathize with for a number of reasons, and Rick Dalton, despite having a compelling storyline, still feels largely unfocused on for a good chunk of the movie. I'd call this one of the best Leo performances, but one of the best Leo roles? Not so much, even though the pieces were there and Tarantino decided not to put them all together.
With that said, the movie is suspenseful, well acted, decently shot, and mostly entertaining throughout despite being way too long. I feel like the ending is a make-or-break aspect of the film for most people, and for me? It made it. Not only was my mouth gaping wide during THAT scene, but I think the resolution to Rick's storyline is a really clever commentary on how we perceive heroism and how much violent shit we excuse in media because we simply chalk it up to 'heroism'. It was a well set up conclusion on multiple levels.
Overall, a worthwhile film, even if it feels like Tarantino dropped the ball in various areas. It's no Pulp Fiction or Inglorious Bastards but I'd still recommend checking it out. Even if it is WAY too long.",True,0.079,0.742,0.179,0.9848
The Breadwinner,4.0,Damn these Cartoon Saloon movies for being insanely good and flying under my radar for the past decade,True,0.125,0.741,0.134,0.0516
The Little Mermaid II: Return to the Sea,2.0,Dares to address the question 'If Ursula is so good why isn't there an Ursula 2',True,0.0,0.8,0.2,0.5777
Hamlet,3.5,David Tennant plays Jim Carrey playing Hamlet,True,0.0,0.568,0.432,0.4215
Cabaret,3.0,"Def missing something here. Sally and Brian's relationship is just so much less interesting than the theme of escapism amidst creeping fascism, and especially the struggles of Fritz and Natalia who aren't even a footnote in the narrative by the end. The songs are great but they don't serve the typical musical purpose of advancing the plot or characters. They advance the theme very well and that's fine, but is this really a shining paragon of musical storytelling if the leading man doesn't utter a single note?
Oh well, not for me and that's fine. I've heard the stage musical is drastically different so I'll give that a watch at some point.",True,0.029,0.852,0.119,0.876
Juror #2,3.5,Definitely didn't make the best use of an amazing premise but hey at least it had JK Simmons for like 20 minutes!,True,0.072,0.559,0.369,0.8425
Mad Max,4.0,"Definitely gives off 'we ran out of budget' vibes in the third act but overall an absurd directorial debut. The score goes insanely hard! I spent the whole movie thinking 'Well yeah, obviously Brian May of Queen would turn out something this phenomenal' and then I checked Wikipedia afterwards and it was a different Brian May",True,0.026,0.85,0.124,0.7177
Star Wars,4.5,"Delicious. Finally, some good fucking food.
Watching this movie with fresh eyes, without thinking about the baggage associated with the franchise nowadays, is an absolutely magical experience. The worldbuilding and unfolding mysteries are astounding. The character interactions are my favorite parts; for instance, seeing Han and Obi-Wan play off of each other is great, since their vastly different perspectives make for excellent exchanges. Everyone has great chemistry, the setting is well-defined, the campiness honestly enhances the viewing experience. Only thing I don't care for that much is Luke, he's ok here but not quite as interesting as he is in future films.
But yeah my compliments to Chef Lucas. Can't wait to see what he cooks up next",True,0.037,0.752,0.211,0.958
