name,user rating,user review
"One Battle After Another",5.0,"Grips you from the first minute and refuses to let go. Whether you're struck with fear by the ever-relevant depictions of militarized violence, or you're laughing at the hundredth dadfailure Leo moment, you're in for an absolutely unforgettable time at the movies. I seriously feel bad for every other film that comes out this year."
"Licorice Pizza",3.5,"Cute and fun but not all that special in hindsight!"
"Gremlins 2: The New Batch",4.0,"The Babe Pig in the City of the Gremlins Cinematic Universe. Except better somehow"
"There Will Be Blood",5.0,"You're a bastard from a basket"
"Inherent Vice",3.0,"Not really my thing. A devastating blow to the 'PTA makes nothing but bangers' agenda I planned on spreading"
"The Master",4.0,"For a cult leader he was pretty chill honestly"
"Magnolia",4.5,"I was told 'You'll never in a million years guess how this movie ends' but actually it was very easy to predict"
"Bubba the Redneck Werewolf",3.5,"The current frontrunner for Best Picture at the Tubi Awards"
"AJ Goes to the Dog Park",3.5,"Culver's getting destroyed was the most devastating thing I've ever seen in my life"
"Boogie Nights",5.0,"Holy shit dude!
I could've watched the first party scene for another 3 hours and I don't even think that's one of the top 5 best scenes in the movie. They treat Mark Wahlberg's dick like it's the contents of the Pulp Fiction briefcase and it's great. I love when Don Cheadle is happy in movies!
Between this and Punch-Drunk Love, PTA might already be my new favorite director. And I haven't even seen There Will Be Blood yet! Fuck, man! Movies rule!"
"Hard Eight",3.5,"Hard Eight? More like Hard Left, did not see some of these plot developments coming"
"The Naked Gun",4.0,"Legacy sequel so good that I'm lowering my score for Happy Gilmore 2 in response"
"The Wedding Singer",3.5,"Once you've seen the other 50 Adam Sandler movies you really start to stomach the expected flaws that are in most of his comedies and get completely drawn in by what a natural and charismatic lead he is. There's a lot of annoying cliches and humor I don't care for here, but I cried at the song he sings at the end so who really cares"
"The Meyerowitz Stories (New and Selected)",4.5,"Mostly fantastic but it's truly insane how much Jean gets shafted"
"April and the Extraordinary World",4.0,"It feels like there should be talking monkeys in this movie and yet there are no talking monkeys"
"Hustle",4.0,"It features the only Adam Sandler character who canonically went to Temple, of course I liked this"
"Mixed Nuts",1.0,"Alright maybe Eight Crazy Nights wasn't that bad"
"Alvin and the Chipmunks: Chipwrecked",1.5,"Will this be last place or will Deuce Bigalow: Male Gigolo be last place? Find out when the Mike Mitchell ranking comes out"
"The Longest Yard",2.0,"What if The Waterboy was boring"
"Sunday in the Park with George",4.0,"And Mandy Patinkin, who played Sunday, he gave everything"
"Billy Madison",2.0,"Bad. All of Sandler's worst comedic instincts in full display. The gun bit was funny"
"Pixels",1.5,"www.youtube.com/watch?v=9is1e3tirC8"
"Funny People",2.5,"The first half of this is an 8/10!"
"Reign Over Me",3.5,"They gotta stop calling it Shadows of the Colossus man I know Don Cheadle's character would reasonably make that mistake but Adam Sandler's character should be obsessed enough to know there's only one Shadow in the title"
"Hotel Transylvania",2.5,"Crazy how unrecognizable Sandler's voice is here. Like even in Uncut Gems he sounds like himself, but here he just goes full Drac dude"
"You’re Bacon Me Crazy",1.0,"Top 1 best movie titles of all time"
"Blended",2.5,"Adam Sandler really said 'What if I made Just Go With It again'"
"Airheads",2.5,"Fun premise but it gets old pretty quickly"
"Uncut Gems",5.0,"If this was set in 2025 the bejeweled Furbys would've been Labubus. Glad we don't live in that timeline"
"Men, Women & Children",1.5,"Jason Reitman really thought he had something with this one"
"The Great Muppet Caper",4.5,"Never has a movie scene been more committed to the bit than the Piggy's Fantasy water ballet sequence"
"Jack and Jill",5.0,"When Adam Sandler stood up to his sister and said 'I have a Dunkaccino in my life. It makes me stronger than anything you can imagine.' I cried so hard"
"Just Go with It",3.0,"Does this movie think Jennifer Aniston being hot is a twist"
"Digital Video Editing with Adobe Premiere Pro: The Real-World Guide to Set Up and Workflow",4.0,"I watched this for the title and it did not disappoint"
"War of the Worlds",1.0,"Shaking my head to show that I disagree with the aliens deleting my dead wife's Facebook account"
"Little Nicky",1.5,"All of a sudden I sure am hungry for Popeyes® delicious chicken!"
"Spaceman",2.0,"Bad but for completely opposite reasons than any other bad Sandler film"
"Anger Management",2.0,"I coulda been rewatching West Side Story instead of this"
"Kaiju Glam Metal Shark Attack",0.5,"Kellyheads we are so back"
"Love on Delivery",4.0,"Rocky if it was epic"
"50 First Dates",3.5,"So damn sweet you forget that a walrus projectile vomited in the first 10 minutes"
"Punch-Drunk Love",5.0,"Was gonna rewatch this at the end of the Sandler marathon but I kinda couldn't wait. I have not been able to stop thinking about this one. Real life-affirming shit. Uncut Gems has 'bumpable up to 10 on rewatch' potential so there's still a race for Sandler's best movie. But I don't know, I think it's kinda decided already"
"Big Daddy",3.5,"Can't believe this almost made me cry what the hell"
"Grown Ups 2",1.5,"List of advantages this movie has over the first one
1. No Rob Schneider
2. ..."
"Grown Ups",3.0,"Nothing happens in this movie but it's still pretty fun"
"The Naked Gun: From the Files of Police Squad!",4.0,"That guy who played Nordberg is going places"
"Sorry, Baby",3.5,"Really wanted to love this, the performances are great, the direction is good, the story structure is excellent. I guess I just found the dialogue to be a little standard and unengaging a lot of the time, especially in comparison to how gripping the wordless nighttime driving scene was. I think the main character using humor to cope is a smart idea that usually worked, but there are some jokes that landed with a thud (my audience of mostly women…"
"Robot Jox",3.0,"This would be so good if it had a budget"
"Leo",3.0,"Have the songwriters ever seen a single musical before"
"The Bad Guys 2",0,"This time I'm not even giving you guys the score"
"Zookeeper",1.5,"Not a lot of talking animals in this actually. Who gives a shit about Kevin James's love life!"
"Happy Gilmore 2",1.5,"feature length super bowl commercial"
"The Waterboy",3.0,"If the sight of Kathy Bates doing a little dance on the sidelines doesn't make you crack a smile, you might be dead inside"
"Happy Gilmore",3.5,"Alright this one's really funny, I'm not made of stone"
"Shark Tale",5.0,"Caught this at the Music Box in Chicago. There was a drag queen dressed as Lola who introduced the film. The entire audience laughed at least 30 times, murmured excitedly when Scorsese's name appeared in the opening credits, and clapped a ton at the end. It wasn't even ironic, either. I think they all genuinely had a great time with the movie, which was weirdly beautiful to see?
Honestly, this movie isn't 'good', but it might genuinely be one of the funniest and most easily rewatchable DreamWorks movies. The voice actors weirdly all kill it and it's so uniquely flawed in a way most other bad kids movies aren't. A true original. I don't like it but I do adore it."
"Smurfs",1.0,"Emblematic of every problem with modern studio filmmaking while also feeling like it should have come out in 2005. It's incredible that executives still think there is enough cinematic potential in the fucking Smurfs to greenlight the third reboot in less than 15 years. Exactly as bad as I was expecting, I just wish it could have been worse since at least then I would have remembered it in a day's time."
"Spanglish",3.0,"I liked the scenes where Adam Sandler was a chef because they reminded me of Jon Favreau's Chef (2014). If you know you know"
"Superman",3.5,"Did Lex just call Superman a groomer"
"Sandy Wexler",2.5,"Weirdly conflicted on this one. For every shockingly sincere and kind of sweet moment there's Rob Schneider in brownface to balance it out"
"That’s My Boy",1.0,"tenor.com/view/omg-meme-gif-7214107053623319503"
"Alice in Wonderland",1.5,"Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think I'm gonna die
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I feel like I could die
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
2, 3, 4, 5, 6
Uh! Uh! Uh! Uh!
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think he's gonna die
I think he's gonna die
I think I'm gonna die
There goes his baby
With someone new
She sure looks happy
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
(I think I'm gonna
I think I'm gonna
I think I'm gonna
I think I'm gonna)
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think I'm gonna die
1, 2, 3, 4
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I feel like I could die
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
I'm through with romance
I'm through with love (Oh, yeah)
I'm through with counting
The stars above
Forget the stars
And here's the reason
That he's so free
His lovin' baby
She's through with me
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think he's gonna die
I think he's gonna die
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Oh, my life-
[Instrumental Break]
Ooh, give it to me
Ooh, give it to me
Give it to me
Ooh, give it to me
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think he's gonna die
I think he's gonna die
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I think he's gonna die
La, la, la, la, la, la, la, la, la
Bye-bye, your life, goodbye
La, la, la, la, la, la, la, la, la
I think he's gonna die
La, la, la, la, la, la, la, la, la
Bye-bye, your life, goodbye
La, la, la, la, la, la, la
La, la, la, la, la, la, la
Bye-bye
My life
Oh, yeah
Goodbye"
"Super Eruption",2.0,"This movie has time travel. It's less interesting than it sounds"
"Beetlejuice Beetlejuice",3.0,"I want a spinoff about dead actor detective Willem Dafoe"
"Beetlejuice",3.0,"I want a spinoff about the football players"
"Ted",3.0,"I think Seth MacFarlane just made this so he could meet Flash Gordon"
"Big Fish",4.0,"It doesn't matter, just keep telling the story."
"Big Eyes",3.0,"I didn't think Christoph Waltz gave a particularly good performance in this but I guess I should count myself lucky Tim didn't cast Johnny Depp instead"
"Charlie and the Chocolate Factory",2.5,""
"You Don’t Mess with the Zohan",1.0,"I am so tired"
"Attack of the 50 Foot Woman",2.0,"Boring! There's a guy in this who sounds exactly like Steve Buscemi though so that's cool"
"Mars Attacks!",2.5,"There sure were a lot of famous actors in this"
"Sweeney Todd: The Demon Barber of Fleet Street",4.0,"Extremely funny bit to do a version of this musical where the best singer is Toby"
"Hubie Halloween",1.0,"The extended sigh that escaped my mouth when I realized he was gonna do that voice the entire movie"
"Ed Wood",4.5,"Didn't know Burton had this kind of movie in him. Really excellent but I was distracted by the fact that Sarah Jessica Parker simply does not have 1950s face"
"You Are So Not Invited to My Bat Mitzvah",3.5,"This was sweet! I'm beginning to think Adam Sandler might be Jewish"
"Edward Scissorhands",4.5,"I like how the climax was the same as Beauty and the Beast a year before Beauty and the Beast came out"
"The Week Of",2.0,"Weird that this is the second Sandler movie I watched in a row to feature Don't Stop Believing. Huh. Anyway this movie is not very good"
"Sleepy Hollow",3.5,"Goes insanely hard from a directorial standpoint, would have been really cool if the script matched that energy"
"Bedtime Stories",3.0,"Guy Pearce in this is the younger version of his character in The Brutalist, timelines be damned"
"Frankenstein",3.0,"This is a fine enough film on its own and an absolutely shocking watch by 1930s standards, but I did not do it any favors by reading the vastly superior original novel beforehand. This lacks both the pathos and the most haunting passages of the novel; nothing here even comes close to the abject horror of 'I will be with you on your wedding night.' I also think the 'degenerate criminal brain' element of the plot is one of the worst adaptational changes I've seen in anything. It was pretty epic when the unloved lab experiment finally made his first friend in a little girl named Maria though"
"The Do-Over",1.0,"The fact that this miserable joyless sack of shit film has a 2.2 average while The Adventures of Rocky and Bullwinkle only has a 2.3 is insulting. In what fucking universe are they even remotely comparable. You're telling me a swarm of plebians could swarm in at any moment and give the latter film enough negative reviews to bring it down to the level of one of the biggest slogs I've ever seen in my life? What do you people…"
"The Adventures of Rocky & Bullwinkle",3.5,"THIS MOVIE IS SO FUNNY ARE YOU OUT OF YOUR FUCKING MINDS"
"KPop Demon Hunters",3.5,"Extremely relatable, I too love sitting on my couch"
"Planet of the Apes",1.0,"The ranking is canceled sorry everyone"
"Elio",3.0,""
"Tamala 2010: A Punk Cat in Space",3.5,"So damn surreal and atmospheric that you start to forgive the MS Paint ass character designs"
"The Terminator",4.0,"Contains the most necessary sex scene in all of media"
"Batman Returns",3.5,"Am I gonna get Rio 2'd again for saying this was so much more fun than the first one"
"Batman",3.0,"Wasn't sure why Jack Nicholson got top billing in this movie until I watched it and realized Joker was the main character"
"Romeo & Juliet: Sealed with a Kiss",5.0,"It's our 3 year anniversary and Jess wanted to watch this"
"I Now Pronounce You Chuck & Larry",2.5,"Kind of sweet at times. Maybe the most pro-gay homophobic movie ever made"
"No Disrespect",1.5,"Tubi is perhaps the greatest gift to humanity"
"The Phoenician Scheme",4.0,"Marries the adventurous spirit of Grand Budapest with a specific type of warmth and humanity I haven't seen from Wes since Tenanbaums. There's a shot of Benedict Cumberbatch in this destined to become a real all-timer gif"
"Jane Austen Wrecked My Life",3.0,""
"The Ridiculous 6",1.0,"Well. At least Huell was in this"
"The Pirates of Penzance",4.0,"I cannot believe that was the plot of this musical the whole time"
"All That Jazz",5.0,"If the ending song so horrific and disturbing then why so catchy"
"Muppets Most Wanted",4.0,"My biggest shame is not seeing this movie in theaters, I'm sorry for failing you Muppets Most Wanted (2014)"
"The Warriors",3.5,"Masai is the best character in this by a landslide, dude did nothing but aurafarm"
"Princes and Princesses",4.0,"That costume printing machine has to be the same technology as the mask machines in Mission Impossible"
"Ella Enchanted",4.0,"Shockingly kind of peak. The escalator visual gag had me dying"
"Mission: Impossible – The Final Reckoning",3.5,"Look, this movie has some bizarre pacing, cute albeit entirely unnecessary callbacks to previous films, way too many characters to balance (very funny for the character you gave nothing to do to say out loud 'there's nothing for me to do'), and a general unmistakable sense that they did not plan out what to do next before finishing the previous film.
BUT the climax was one of the most insane things I've ever seen onscreen and it made my palms…"
"Pool Party Massacre",3.5,"Completely fucking awful, I had the time of my life!"
"Murder Mystery 2",2.5,"I actually watched this yesterday and forgot to log it until now if that tells you anything"
"Murder Mystery",3.0,"Never before have I been more relieved that a movie was just fine"
"The Cobbler",1.0,"All the same problems as Click with none of the sauce"
"Rogue One: A Star Wars Story",3.0,"I think what ultimately prevents the magnificent Andor from elevating the installment it leads into, whereas something like Clone Wars did wonders for heightening the tragedy of Revenge of the Sith, is the fact that this film simply does not hinge on Cassian as a character the way Sith hinges on Anakin. Sure, I got more emotional at Cassian's fate in this film knowing the full context of his life, but before you get to that (and the admittedly still…"
"Bulletproof",2.0,"Best thing about this was that they used the same dog from Babe Pig in the City"
"Spider-Man: Into the Spider-Verse",5.0,"My mom wanted to watch a Marvel movie and suggested either this or Captain America Brave New World. Idk do you guys think I made the right choice"
"Shakes the Clown",2.5,"Extremely boring in the first half, kinda peak in the second half"
"Alvin and the Chipmunks: The Squeakquel",2.0,"This is definitely gonna be #1 on the Betty Thomas ranking"
"Jim Henson Idea Man",3.5,"Over the past 2 months I've had the pleasure of reading the excellent Jim Henson biography by Brian Jay Jones, which does an absolutely tremendous job of painting a portrait of who this guy is both creatively and personally. I wasn't expecting this documentary to include nearly the same level of detail, but I was nonetheless rather disappointed at how little I got a sense of Jim as a person from this. After a while it mostly becomes an engaging…"
"Singin’ in the Rain",4.5,"Can't believe there are still mfs out there who hate musicals when this exists"
"Sully",3.0,"Completely inaccurate, he did not listen to Evanescence once"
"Ouija Shark 2",2.0,"I don't even know where to start"
"A Funny Thing Happened on the Way to the Forum",3.5,"Very fun but how do you cut that many songs from the original musical and still sleep at night"
"Mission: Impossible – Dead Reckoning",4.5,"Holy shit dude!!!!!!!! As awesome as the action and stunts in this series are, I think I'm a far bigger sucker for the espionage stuff that centers on the characters and what makes them tick. Grace's notable fear in the third act as a newbie to this game compelled me a lot more than the latest (still awesome, but expected) Tom Cruise stunt. Same goes for Benji and the bomb (he loves his friends <3)
THIS is the dramatic uptick…"
"Star Wars: Episode III – Revenge of the Sith",4.0,"Oh who the fuck am I kidding this movie rules lol"
"Mission: Impossible – Fallout",4.0,"HOLY SHIT THAT'S A HELICOPTER CHASE SCENE
This one's probably got the best third act in the series, which I think goes a long way in terms of making up for how rehashy the story is. Villain uses Julia to get to Ethan like in 3, threat of nuclear fallout like in 4, the same villainous group and the return of the main villain from 5. Hell, even the helicopters are an (albeit far expanded) echo of 1's climax. Yes,…"
"Pink Flamingos",3.5,"Alvin from Alvin and the Chipmunks has canonically watched this movie"
"Mufasa: The Lion King",1.0,"Oh you guys REALLY undersold how atrocious this is. Maybe the most abominable, groan-worthy prequel I've ever seen.
DUDE PRIDE ROCK"
"Mission: Impossible – Rogue Nation",4.0,"Something about the subdued nature of Rebecca Ferguson's performance made her character a bit hard to emotionally connect with, which resulted in this story not drawing me in quite as much. On the flip side, this is best one for Benji and his relationship with Ethan so far by a long shot. Making him the damsel in the third act was a stroke of sheer brilliance. The underwater scene is not only nail biting, it's a great showcase for how thoroughly Benji believes in Ethan even as Ethan expresses visible unease about his capabilities for the first time. Real heartwarming stuff.
I also fw the opera scene so much obviously. McQuarrie's direction is very capable and solid, I think I need to see more from him to fully understand why he got to make 4 of these though"
"The Tale of the Fox",4.0,"Outstanding stop motion by 1930s standards, how did they move like that"
"The Tune",3.5,"Super fun and silly with inventive animation and pretty good songs! Every scene also goes on 5 minutes longer than it needs to!"
"Sinners",4.0,""
"Mission: Impossible – Ghost Protocol",4.5,"BRAD FUCKING BIRD. It's honestly ridiculous how perfectly his skills at crafting tightly-woven animated action sequences translated to the live-action medium. Legit could not breathe as Ethan scaled the Burj Khalifa. Said out loud 'there's no way' when he tossed one of the gloves aside. Had to rewind when he attempted to swing back inside and bonked his head because I simply couldn't believe my eyes - and in the process of doing so, I noticed that this was an…"
"Big and Hairy",2.0,"Bigfoot will never be ballin-HOLY SHIT"
"Night Is Short, Walk On Girl",4.0,"Kinda like if Tomodachi Life was a movie"
"Mission: Impossible III",4.0,"My favorite so far, with about a million asterisks on that statement.
Love the opening scene, love the villain, love the team camaraderie, the story was exciting, even the romance was sweet dammit! Michael Giacchino the king that you are!
The action set pieces were also great, you know, whenever they weren't blurry as shit with a bunch of shaky cam. The writing was pretty good, except when it wasn't! Luther asking Ethan if he's ever slept with his sister…"
"Mission: Impossible II",2.5,"An obvious black sheep in nearly every respect, but I'd be lying if I said that ending chase scene wasn't cool as fuck"
"The Last Unicorn",4.0,"Absolutely gorgeous and powerful. Young Jeff Bridges could not voice act"
"Shark Tale",5.0,"The fact that we as a society are still capable of producing art this beautiful gives me actual hope for the future. The fascists can never do something like this."
"Cabaret",3.0,"Def missing something here. Sally and Brian's relationship is just so much less interesting than the theme of escapism amidst creeping fascism, and especially the struggles of Fritz and Natalia who aren't even a footnote in the narrative by the end. The songs are great but they don't serve the typical musical purpose of advancing the plot or characters. They advance the theme very well and that's fine, but is this really a shining paragon of musical storytelling if the…"
"Mission: Impossible",3.5,"Kind of just decent but I bumped up the score because that one scene had a helicopter in it and that ruled"
"The Chipmunk Adventure",3.0,"You know what, I've seen worse!"
"Not Just a Goof",4.0,"I love da movies"
"Cinderella’s Castle",3.0,"Lightly brushes on a cool and subversive take on the Cinderella narrative, but ultimately plays the story straight far too often. Let her kill some shit!"
"A Minecraft Movie",2.0,""
"Anora",4.5,"I still have not recovered from the final shot of this film and I don't know if I ever will"
"The Great Piggy Bank Robbery",4.0,"At first this seemed pretty standard then all the mobsters showed up and I was like 'Oh yeah I get it'"
"Book Revue",4.5,"How do you even make something like this holy fucking shit"
"Dinocroc vs. Supergator",1.0,"I beat the Forest Temple in Twilight Princess while this was on. The monkey has a big ass"
"The Scarlet Pumpernickel",4.0,"Magnificent ending"
"Punch-Drunk Love",4.5,"Honestly most of his anger was justified, his sisters are annoying af"
"Porky in Wackyland",3.0,"I need to watch every Looney Tune and get caught up on the lore before I see that new one in theaters"
"King Richard",2.5,"Who give a shit. Make a movie about Venus and Serena next time. Aunjanue Taylor-Ellis acts circles around Will Smith in every scene they share. Where's her Oscar"
"The Whale",1.0,"Knew I was in for a bad time when the opening credits were dark blue on a black background"
"The Match-Stick Flame 2: Lunada Bay",2.5,"I cried at the end. I think. Honestly it's all just kind of a blur"
"Aqua",3.5,"This happened to my buddy the cat from Flow"
"The Eyes of Tammy Faye",3.5,"I had only ever seen Vincent D'onofrio as Kingpin before this, does he just talk like that for every role all the time"
"The Match-Stick Flame",3.0,"The kind of movie where you know exactly what its quality will be just based on the poster"
"Tank Fantasy",4.0,""
"Magic Candies",3.5,"My sofa and I would no doubt have some riveting conversations about the shit I watch"
"Delta Space Mission",3.0,"Need a Tin plushie so bad"
"Going Overboard",1.0,"I laughed 0 times"
"Ne Zha 2",4.5,"Holy fucking shit"
"Mars Express",4.0,"Everyone is already talking about the similarities to Blade Runner, Ghost in the Shell, Terminator, etc. So I'm here to say the city in this is a dead ringer for the city in Xenoblade Chronicles X, which is cool as hell!"
"The Pied Piper",3.5,"Everything was really scary except the rats. Idk for some reason they looked very huggable"
"Hamlet",3.5,"David Tennant plays Jim Carrey playing Hamlet"
"Ne Zha",3.5,"Very fun! Couldn't help but feel like most aspects of the film, from the villains to the central friendship to the abrupt ending, would have benefitted from another draft. Even so, a nice time with some unexpectedly killer fight scenes. Excited to see the sequel which is the highest grossing animated film of all time, apparently!"
"Family Guy Presents: Blue Harvest",4.0,"Couch gag genuinely one of the top 10 Family Guy jokes ever"
"Amityville Toybox",1.0,"The monkey didn't even kill people! This is a load of baloney."
"I Married a Strange Person!",4.5,"Haven't laughed this hard at an animated film in so damn long. Bursting at the seams with unchecked creativity and lunacy. William and Hal will love this, Buster and Olivia will hate this, Yinsed, Puff, and Robyn could go either way but I'm leaning towards a positive reaction"
"Muppets from Space",4.0,"I bet that dude who got whacked in the balls by Miss Piggy was so happy"
"It’s a Mad, Mad, Mad, Mad World",4.0,"Holy shit dude lmfao"
"Alvin and the Chipmunks",2.0,"It is finished. Father, into your hands, I commend my spirit."
"The War with Grandpa",1.5,"In the course of his brilliant career, Robert De Niro has teamed with Tim Hill to bring us a wide range of uniquely complicated villains. His latest performance in 'The War With Grandpa' delivers a different type of evil, not of a mobster or a psychotic loner, but of a grandpa consumed by greed and his lust for power. Mr. De Niro, in an Oscar-winning...uh, Oscar-worthy performance, gives us a reminder of the heart of darkness within our ancestral blood. Congratulations to an acting legend."
"The SpongeBob Movie: Sponge on the Run",2.5,"I visibly pogged when I saw the Patty Wagon"
"Garfield: A Tail of Two Kitties",1.0,"Ruined my fucking Monday"
"Grumpy Cat’s Worst Christmas Ever",2.0,"Much better than I expected!"
"OBEX",3.5,"Fascinating and ethereal. Albert's work has such a consistent mystical feel and this is yet another engaging entry in his body of work. It's kind of my least favorite of his, mainly due to pacing and a bit of a difficult emotional core to connect with, and yet it's still very good and unlike anything I've seen in a while visually. Albert's performance is especially staggering in this."
"Passion",3.0,"Bro, are you flirting with my cousin?"
"I’m Still Here",4.0,"Unbearably devastating. I can see why every single one of my Brazilian fans wanted me to watch this"
"Remember Me",1.5,"Funniest ending of all time. I got nothing out of anything else that happened"
"Johanne Sacreblu",5.0,"Didn't understand a word of this but hell yea brother Emilia Perez found dead in a ditch"
"The Brutalist",3.0,"It's difficult to articulate why this didn't fully work for me. The performances and direction were solid but the story felt like a rather stock deconstruction of the American Dream, one that rarely surprised or engaged me. I'll take this over an Emilia Perez win in any category however."
"Nosferatu",4.5,"Kinda like a dark fucked up version of Princess Kaguya. So terrifying at times I started crying. Fun for the whole family"
"Sharpay’s Fabulous Adventure",1.5,"This is still one of Austin Butler's top 8 most popular films on Letterboxd"
"Hundreds of Beavers",4.5,"I still remember getting invited to the Jim Thorpe Film Festival in 2023 and experiencing this comedic marvel with a huge crowd who laughed like crazy and loved every second. I distinctly remember thinking, 'God, the general public is gonna adore this as long as they actually get to see it.'
Nearly 2 years and 112,000 Letterboxd logs later, I couldn't be prouder of what Mike and Ryland have achieved. :)"
"Nickel Boys",4.0,"Occasionally difficult to emotionally connect with due to the first person perspective, but equally difficult to deny how bold its storytelling style truly is. How the hell was this not in the conversation for Best Director, Editing, and Sound?!"
"Lake Michigan Monster",4.0,"A fascinating rewatch in a post Hundreds of Beavers world. Compared to that movie's universally appealing sense of humor, this one is so ultra specific and so niche that I can see why it only majorly took off among my circle of friends. A couple stretches are a bit dryer than I remember (looking at you, cruise ship bit) and while there are so many comedic swings that still hit home runs for me, there are a surprising number of…"
"A Town Called Panic",3.5,"The best movie I've seen where two horse figurines make out"
"Saturday Night",3.5,"Gabriel LaBelle is so damn electric in this!! So glad he wasn't a one-hit wonder after Fabelmans, he's the glue that holds this together. Little too self-congratulatory at times, little too inauthentic, and I would never feel an ounce of empathy for Chevy Chase no matter how hard a movie makes me try, but after a while I really got into the chaotic theater kid energy this movie radiates. I'd like that kid who played Billy Crystal to be in more stuff too!"
