name,user rating,user review
Wicked,4,Better than Muppets Wizard of Oz
The Star Wars Holiday Special,1,Better than Rise of Skywalker
Maggie Simpson in “Playdate with Destiny”,3.5,Better than the movie it was bizarrely stapled to
Alvin and the Chipmunks: The Road Chip,2,Better than the previous Chipmunks movie. I never though I'd see the day.
Big and Hairy,2,Bigfoot will never be ballin-HOLY SHIT
The Lion King,5,Biggest observation that came from this rewatch is that Timon would be a really good Tumblr Sexyman
Sauce,5,"'Bitch, you da sauce' will go down as one of the greatest lines in cinematic history"
WALL·E,4.5,Bold of Disney to finance and release a movie about a megacorporation that destroys the Earth
Fun and Fancy Free,1.5,Bongo the bear needs to die a slow and painful death
Sky Sharks,1.5,Boring ass movie with the best opening in cinematic history
Attack of the 50 Foot Woman,2,Boring! There's a guy in this who sounds exactly like Steve Buscemi though so that's cool
Mission: Impossible – Ghost Protocol,4.5,"BRAD FUCKING BIRD. It's honestly ridiculous how perfectly his skills at crafting tightly-woven animated action sequences translated to the live-action medium. Legit could not breathe as Ethan scaled the Burj Khalifa. Said out loud 'there's no way' when he tossed one of the gloves aside. Had to rewind when he attempted to swing back inside and bonked his head because I simply couldn't believe my eyes - and in the process of doing so, I noticed that this was an hour in! This thing just flies by and does not feel its length at all, it's so engrossing!
Honestly the first one of these movies to really earn the title of the franchise. The dual meeting sequence, the sandstorm chase, the sheer down-to-the-wire nature of the finale; I can't believe they pulled this thing off. This applies to the characters and the filmmakers!
Cannot believe it apparently gets better from here."
Scott Pilgrim vs. the World,4.5,BREAD MAKES YOU FAT?!
Trolls,2,"Bro why do you need to autotune Justin Timberlake, he's JUSTIN TIMBERLAKE JUST LET HIM SING NORMALLY"
Passion,3,"Bro, are you flirting with my cousin?"
Evil Dead II,4,Bruce Campbell's right hand deserves an Academy Award
Fate/stay night: Heaven’s Feel III. Spring Song,3.5,BUFF KIREI BUFF KIREI
Kung Fu Panda 4,,bullshit
Santa Claus Is Comin’ to Town,4,Burgermeister Meisterburger is one of the greatest anime villains of all time
Alice in Wonderland,1.5,"Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think I'm gonna die
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I feel like I could die
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
2, 3, 4, 5, 6
Uh! Uh! Uh! Uh!
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think he's gonna die
I think he's gonna die
I think I'm gonna die
There goes his baby
With someone new
She sure looks happy
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
He sure is blue
I sure am blue
(I think I'm gonna
I think I'm gonna
I think I'm gonna
I think I'm gonna)
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think I'm gonna die
I think I'm gonna die
1, 2, 3, 4
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I feel like I could die
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
I'm through with romance
I'm through with love (Oh, yeah)
I'm through with counting
The stars above
Forget the stars
And here's the reason
That he's so free
His lovin' baby
She's through with me
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think he's gonna die
I think he's gonna die
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, my life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Bye-bye, your life, goodbye
Oh, my life-
[Instrumental Break]
Ooh, give it to me
Ooh, give it to me
Give it to me
Ooh, give it to me
Bye-bye, life
Bye-bye, happiness
Hello, loneliness
I think he's gonna die
I think he's gonna die
Bye-bye, love
Bye-bye, sweet caress
Hello, emptiness
I think he's gonna die
La, la, la, la, la, la, la, la, la
Bye-bye, your life, goodbye
La, la, la, la, la, la, la, la, la
I think he's gonna die
La, la, la, la, la, la, la, la, la
Bye-bye, your life, goodbye
La, la, la, la, la, la, la
La, la, la, la, la, la, la
Bye-bye
My life
Oh, yeah
Goodbye"
Hoffmaniada,,"Came in halfway through, but I respected what I saw enough to maybe check it all out later in the future, and you should too"
The Munsters,2,"Can someone please explain the 'I am a Lego Bat' song
What is the joke there
What does it mean
What the fuck does any of this mean
help"
Mr. Peabody & Sherman,4,Cannot believe I liked this movie as much as I did
Avatar: The Way of Water,3,Can't believe I made a whole video glazing the water in Star Wars movies when THIS movie exists. Fucking amazing looking Grade A 10/10 water here
The Sugarland Express,3,Can't believe Spielberg's first ever theatrical work was a GTA movie
Singin’ in the Rain,4.5,Can't believe there are still mfs out there who hate musicals when this exists
Big Daddy,3.5,Can't believe this almost made me cry what the hell
Phineas and Ferb the Movie: Candace Against the Universe,4,Can't believe this movie finally gave Jeremy a personality trait
Shark Tale,5,"Caught this at the Music Box in Chicago. There was a drag queen dressed as Lola who introduced the film. The entire audience laughed at least 30 times, murmured excitedly when Scorsese's name appeared in the opening credits, and clapped a ton at the end. It wasn't even ironic, either. I think they all genuinely had a great time with the movie, which was weirdly beautiful to see?
Honestly, this movie isn't 'good', but it might genuinely be one of the funniest and most easily rewatchable DreamWorks movies. The voice actors weirdly all kill it and it's so uniquely flawed in a way most other bad kids movies aren't. A true original. I don't like it but I do adore it."
Encanto,4.5,"Changed my mind about the songs actually, they're bangers that get better the more I listen to them. This movie fucking rocks and it better not fade into relative obscurity."
The Hunchback of Notre Dame,4.5,"Changed my mind about this one. It deserves a 9/10 despite being an utter tonal disaster. Not just the gargoyles; the slapstick during the fight scenes is straight up embarrassing. But WOW this movie is otherwise astounding. Unbelievable songs, an unforgettable score, great characters, and the best Disney villain ever (even though I complained about him, he's still amazing for Disney) makes for one of Disney's grandest, most ambitious works.
The stage musical is still better tho"
"Synecdoche, New York",5,"Charlie Kaufman movies are really cool because they make you sob uncontrollably and regret all your life choices and also there's a silly man sleeping in the basement of a house that's on fire. That's not a good place to sleep, sillyhead!"
"Two Cars, One Night",3.5,"Charming in its simplicity, and striking from a visual perspective. A great opening act for my boy Taika"
Chicken Little,1,"Chicken Little is a lot like Evangelion if you think about it:
-Main protagonist is a loser nobody likes
-His dad hates him
-The alien invasion at the end is like the Third Impact"
Terminator Salvation,2.5,"Christian Bale randomly does his Batman voice on occasion and CGI Arnold shows up with no dick and balls. I definitely liked it less than the previous film, but the story was kind of interesting on paper and the third act was kinda cool. Definitely sauceless overall but I have yet to see a truly irredeemably awful Terminator film. Oh well, there's always next time."
Lost in Starlight,4.5,Climax was obviously the best part but that elevator kiss is also gonna stick with me for a while
